dish_id,image_path,calories
dish_1558461792,images\dish_1558461792.png,331.0
dish_1563898084,images\dish_1563898084.png,419.493378
dish_1561575410,images\dish_1561575410.png,16.0
dish_1558114875,images\dish_1558114875.png,74.360001
dish_1563555605,images\dish_1563555605.png,537.809998
dish_1559848882,images\dish_1559848882.png,143.062012
dish_1563827454,images\dish_1563827454.png,86.570007
dish_1558376364,images\dish_1558376364.png,48.990002
dish_1558628956,images\dish_1558628956.png,9.044001
dish_1561577947,images\dish_1561577947.png,623.204285
dish_1558468589,images\dish_1558468589.png,12.1
dish_1561575274,images\dish_1561575274.png,305.180023
dish_1562698239,images\dish_1562698239.png,407.633148
dish_1563813308,images\dish_1563813308.png,224.982895
dish_1563217939,images\dish_1563217939.png,227.242706
dish_1559845767,images\dish_1559845767.png,236.23201
dish_1561480460,images\dish_1561480460.png,285.402008
dish_1559849466,images\dish_1559849466.png,467.613037
dish_1563984771,images\dish_1563984771.png,582.809204
dish_1563222745,images\dish_1563222745.png,135.360001
dish_1560455030,images\dish_1560455030.png,20.59
dish_1561739805,images\dish_1561739805.png,696.363525
dish_1566414611,images\dish_1566414611.png,105.599998
dish_1565194852,images\dish_1565194852.png,428.59549
dish_1562702007,images\dish_1562702007.png,24.784069
dish_1565034635,images\dish_1565034635.png,124.089249
dish_1562096907,images\dish_1562096907.png,297.779602
dish_1563393366,images\dish_1563393366.png,89.85463
dish_1561746970,images\dish_1561746970.png,303.636078
dish_1562788732,images\dish_1562788732.png,57.292805
dish_1562614158,images\dish_1562614158.png,453.931671
dish_1560368110,images\dish_1560368110.png,16.02
dish_1561061687,images\dish_1561061687.png,508.347748
dish_1565207896,images\dish_1565207896.png,298.380798
dish_1558718906,images\dish_1558718906.png,282.580017
dish_1566402160,images\dish_1566402160.png,458.716125
dish_1560798928,images\dish_1560798928.png,485.038239
dish_1564687013,images\dish_1564687013.png,330.840851
dish_1558375667,images\dish_1558375667.png,687.939026
dish_1559934679,images\dish_1559934679.png,160.845459
dish_1563565720,images\dish_1563565720.png,84.662781
dish_1563216717,images\dish_1563216717.png,246.007996
dish_1559590202,images\dish_1559590202.png,316.725983
dish_1563555510,images\dish_1563555510.png,193.880005
dish_1561579673,images\dish_1561579673.png,221.304153
dish_1558462036,images\dish_1558462036.png,2.99
dish_1565641844,images\dish_1565641844.png,244.627991
dish_1565797671,images\dish_1565797671.png,39.239998
dish_1558463362,images\dish_1558463362.png,20.880001
dish_1561061123,images\dish_1561061123.png,399.430664
dish_1561577573,images\dish_1561577573.png,755.432922
dish_1562603626,images\dish_1562603626.png,201.759506
dish_1558546558,images\dish_1558546558.png,254.364014
dish_1562873814,images\dish_1562873814.png,106.580215
dish_1560367193,images\dish_1560367193.png,131.041962
dish_1566329049,images\dish_1566329049.png,814.930786
dish_1566414342,images\dish_1566414342.png,846.367065
dish_1566933454,images\dish_1566933454.png,121.741409
dish_1561060925,images\dish_1561060925.png,93.914848
dish_1558635994,images\dish_1558635994.png,93.839996
dish_1567020366,images\dish_1567020366.png,111.459381
dish_1559844272,images\dish_1559844272.png,462.480011
dish_1561580552,images\dish_1561580552.png,22.25
dish_1558720396,images\dish_1558720396.png,95.489998
dish_1566328988,images\dish_1566328988.png,747.747803
dish_1562686520,images\dish_1562686520.png,346.47998
dish_1564159520,images\dish_1564159520.png,227.220001
dish_1559849020,images\dish_1559849020.png,46.23
dish_1567108037,images\dish_1567108037.png,674.73053
dish_1563563492,images\dish_1563563492.png,192.370255
dish_1565379320,images\dish_1565379320.png,404.011017
dish_1562010266,images\dish_1562010266.png,581.033081
dish_1563389600,images\dish_1563389600.png,451.428009
dish_1563567319,images\dish_1563567319.png,398.630829
dish_1565035715,images\dish_1565035715.png,15.6
dish_1564073641,images\dish_1564073641.png,49.767807
dish_1561575951,images\dish_1561575951.png,213.699173
dish_1563900172,images\dish_1563900172.png,236.636597
dish_1559240441,images\dish_1559240441.png,19.470001
dish_1558636763,images\dish_1558636763.png,60.839996
dish_1563475788,images\dish_1563475788.png,39.0
dish_1562686548,images\dish_1562686548.png,413.493988
dish_1560543525,images\dish_1560543525.png,83.43
dish_1565981898,images\dish_1565981898.png,260.979767
dish_1564428515,images\dish_1564428515.png,484.618347
dish_1560444967,images\dish_1560444967.png,197.377884
dish_1568315177,images\dish_1568315177.png,637.806702
dish_1559242066,images\dish_1559242066.png,26.053925
dish_1565207631,images\dish_1565207631.png,64.405495
dish_1558641954,images\dish_1558641954.png,18.360001
dish_1559239151,images\dish_1559239151.png,9.2
dish_1562949162,images\dish_1562949162.png,64.919998
dish_1561667238,images\dish_1561667238.png,268.80484
dish_1563220109,images\dish_1563220109.png,184.735962
dish_1562700957,images\dish_1562700957.png,286.933777
dish_1565895808,images\dish_1565895808.png,51.80175
dish_1561404458,images\dish_1561404458.png,410.311737
dish_1567007848,images\dish_1567007848.png,100.300003
dish_1558637214,images\dish_1558637214.png,11.04
dish_1559238481,images\dish_1559238481.png,59.689999
